STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ADJUSTMENT,Adjustment,ACTIVITY,Economic activity,POLLUTANT,Pollutants,ACTIVITY_SCOPE,Activity scope,METHODOLOGY,Methodology,SOURCE,Source,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.0),Air Emissions Accounts,I,FRA,France,A,Annual,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,N,Neither seasonally adjusted nor calendar adjusted,J61,Telecommunications,CO2,Carbon dioxide,RES,Activities by residents,EMISSIONS_SEEA,SEEA (residence principle),REPORTED,Reported by national statistical authority,2019,,288467.71,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.0),Air Emissions Accounts,I,FRA,France,A,Annual,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,N,Neither seasonally adjusted nor calendar adjusted,J61,Telecommunications,CO2,Carbon dioxide,RES,Activities by residents,EMISSIONS_SEEA,SEEA (residence principle),REPORTED,Reported by national statistical authority,2020,,252392.13,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.0),Air Emissions Accounts,I,FRA,France,A,Annual,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,N,Neither seasonally adjusted nor calendar adjusted,J61,Telecommunications,CO2,Carbon dioxide,RES,Activities by residents,EMISSIONS_SEEA,SEEA (residence principle),REPORTED,Reported by national statistical authority,2021,,320667.17,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.0),Air Emissions Accounts,I,FRA,France,A,Annual,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,N,Neither seasonally adjusted nor calendar adjusted,J61,Telecommunications,CO2,Carbon dioxide,RES,Activities by residents,EMISSIONS_SEEA,SEEA (residence principle),REPORTED,Reported by national statistical authority,2022,,268518.43,,E,Estimated value,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.0),Air Emissions Accounts,I,FRA,France,A,Annual,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,N,Neither seasonally adjusted nor calendar adjusted,ATU_HH,All ISIC activities and activities of households,CO2,Carbon dioxide,RES_ABR,Activities abroad by residents,EMISSIONS_SEEA,SEEA (residence principle),REPORTED,Reported by national statistical authority,2008,,52047653.19,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.0),Air Emissions Accounts,I,FRA,France,A,Annual,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,N,Neither seasonally adjusted nor calendar adjusted,ATU_HH,All ISIC activities and activities of households,CO2,Carbon dioxide,RES_ABR,Activities abroad by residents,EMISSIONS_SEEA,SEEA (residence principle),REPORTED,Reported by national statistical authority,2009,,44088494.75,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.0),Air Emissions Accounts,I,FRA,France,A,Annual,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,N,Neither seasonally adjusted nor calendar adjusted,ATU_HH,All ISIC activities and activities of households,CO2,Carbon dioxide,RES_ABR,Activities abroad by residents,EMISSIONS_SEEA,SEEA (residence principle),REPORTED,Reported by national statistical authority,2010,,45743460.25,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.0),Air Emissions Accounts,I,FRA,France,A,Annual,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,N,Neither seasonally adjusted nor calendar adjusted,ATU_HH,All ISIC activities and activities of households,CO2,Carbon dioxide,RES_ABR,Activities abroad by residents,EMISSIONS_SEEA,SEEA (residence principle),REPORTED,Reported by national statistical authority,2011,,46315091.72,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.0),Air Emissions Accounts,I,FRA,France,A,Annual,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,N,Neither seasonally adjusted nor calendar adjusted,ATU_HH,All ISIC activities and activities of households,CO2,Carbon dioxide,RES_ABR,Activities abroad by residents,EMISSIONS_SEEA,SEEA (residence principle),REPORTED,Reported by national statistical authority,2012,,46333970.31,,,,,,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_AEA@DF_AEA(1.0),Air Emissions Accounts,I,FRA,France,A,Annual,EMISSIONS,Emissions,T_CO2E,Tonnes of CO2-equivalent,N,Neither seasonally adjusted nor calendar adjusted,ATU_HH,All ISIC activities and activities of households,CO2,Carbon dioxide,RES_ABR,Activities abroad by residents,EMISSIONS_SEEA,SEEA (residence principle),REPORTED,Reported by national statistical authority,2013,,44081990.13,,,,,,0,Zero
